building,feature_set,mode,use_static,strict_cold_start,seed,n_dynamic_features,n_static_features,n_train_seq,n_val_seq,n_test_seq,status,rmse,mae,r2,wape_pct,wape_24h,wape_72h,wape_168h,wape_336h,scope,n_train_seq_pooled,n_val_seq_pooled,n_test_seq_pooled,baseline_model,baseline_rmse,baseline_mae,baseline_r2,baseline_wape_pct
U04,setA,M0,False,False,62,8,0,14317,2066,8206,ok,11.774914887398072,6.830134391784668,0.9910555481910706,6.101444244384766,6.8312788009643555,6.961876392364502,6.3071980476379395,5.856776237487793,single,,,,Persistence_1h,8.31,4.029,0.9957,2.652
U04,setA,M0,False,False,72,8,0,14317,2066,8206,ok,11.076119008591434,6.81718111038208,0.9920856952667236,6.089873313903809,5.821531772613525,5.531580448150635,5.151818752288818,4.668574810028076,single,,,,Persistence_1h,8.31,4.029,0.9957,2.652
U04,setA,M0,False,False,82,8,0,14317,2066,8206,ok,11.13645362605324,6.6559977531433105,0.9919992089271545,5.94588565826416,7.732292652130127,7.713275909423828,5.985646724700928,5.211555480957031,single,,,,Persistence_1h,8.31,4.029,0.9957,2.652
U04B,setA,M0,False,False,42,8,0,13621,2066,8206,ok,1.7179469920363957,0.8373114466667175,0.965290904045105,12.523895263671875,107147272.0,217254736.0,149255504.0,170979008.0,single,,,,ARX_ES,1.537,0.724,0.9748,8.022
U04B,setA,M0,False,False,52,8,0,13621,2066,8206,ok,1.8322827262147046,0.8974160552024841,0.960517168045044,13.422897338867188,151147584.0,208608976.0,182947536.0,136132896.0,single,,,,ARX_ES,1.537,0.724,0.9748,8.022
U04B,setA,M0,False,False,62,8,0,13621,2066,8206,ok,1.9976121237442297,1.011053204536438,0.9530705213546753,15.122597694396973,45622572.0,60672180.0,102558688.0,108824328.0,single,,,,ARX_ES,1.537,0.724,0.9748,8.022
U04B,setA,M0,False,False,72,8,0,13621,2066,8206,ok,2.080777762509573,1.1393952369689941,0.9490815997123718,17.042245864868164,405988128.0,688359616.0,454505440.0,339718976.0,single,,,,ARX_ES,1.537,0.724,0.9748,8.022
U04B,setA,M0,False,False,82,8,0,13621,2066,8206,ok,1.6527521156363274,0.8289858102798462,0.9678753018379211,12.399367332458496,258233312.0,324332384.0,196865312.0,149164336.0,single,,,,ARX_ES,1.537,0.724,0.9748,8.022
U05,setA,M0,False,False,42,8,0,13297,2066,8206,ok,20.59036435442673,11.850159645080566,0.8766011595726013,25.199892044067383,26.81338882446289,28.990142822265625,23.92884635925293,23.01133155822754,single,,,,ARMAX_ES,13.812,7.729,0.9465,12.011
U05,setA,M0,False,False,52,8,0,13297,2066,8206,ok,16.773352897725626,9.228801727294922,0.9181115627288818,19.625457763671875,24.142915725708008,27.616985321044922,21.90044403076172,18.91706085205078,single,,,,ARMAX_ES,13.812,7.729,0.9465,12.011
