building,feature_set,mode,target_variant,use_static,strict_cold_start,seed,n_dynamic_features,n_static_features,n_train_seq,n_val_seq,n_test_seq,status,rmse,mae,r2,wape_pct,wape_24h,wape_72h,wape_168h,wape_336h,scope,n_train_seq_pooled,n_val_seq_pooled,n_test_seq_pooled
ICO,setA,M2,heat_kwh,False,False,42,14,0,11159,2066,8213,ok,9.320040319134513,5.460186958312988,0.9146082997322083,18.707847595214844,31.597509384155273,32.00954818725586,24.834909439086914,21.618881225585938,single,,,
ICO,setA,M2,heat_kwh,False,False,52,14,0,11159,2066,8213,ok,7.480189544805714,4.672490119934082,0.9449945688247681,16.009017944335938,22.96519660949707,23.397153854370117,17.756425857543945,14.966151237487793,single,,,
ICO,setA,M2,heat_kwh,False,False,62,14,0,11159,2066,8213,ok,7.875706716645884,4.8189873695373535,0.9390239715576172,16.51095199584961,21.40890121459961,22.76224136352539,18.19251823425293,15.871318817138672,single,,,
ICO,setA,M2,heat_kwh,False,False,72,14,0,11159,2066,8213,ok,8.18022939495596,5.27602481842041,0.9342173933982849,18.07686424255371,22.77574348449707,22.70203399658203,17.672992706298828,16.086894989013672,single,,,
ICO,setA,M2,heat_kwh,False,False,82,14,0,11159,2066,8213,ok,9.916007738634347,5.908276557922363,0.9033384323120117,20.243104934692383,33.13454818725586,32.60297393798828,26.515756607055664,22.975963592529297,single,,,
LIB,setA,M2,heat_kwh,False,False,42,14,0,11158,2066,8213,ok,9.628028690360367,5.770740985870361,0.9758923053741455,10.040518760681152,14.744845390319824,14.624738693237305,11.449756622314453,9.49579906463623,single,,,
LIB,setA,M2,heat_kwh,False,False,52,14,0,11158,2066,8213,ok,8.864711331714581,5.357117652893066,0.9795633554458618,9.320854187011719,11.633831024169922,12.109565734863281,8.78654670715332,7.298463821411133,single,,,
LIB,setA,M2,heat_kwh,False,False,62,14,0,11158,2066,8213,ok,9.612100651931975,5.240856170654297,0.9759719967842102,9.118570327758789,18.380237579345703,18.02277946472168,12.68513298034668,10.03805923461914,single,,,
LIB,setA,M2,heat_kwh,False,False,72,14,0,11158,2066,8213,ok,8.348494762957506,4.746549129486084,0.9818741679191589,8.258524894714355,12.829188346862793,12.578925132751465,9.566123962402344,7.730097770690918,single,,,
LIB,setA,M2,heat_kwh,False,False,82,14,0,11158,2066,8213,ok,9.184659557730283,5.350016117095947,0.9780614972114563,9.30849838256836,14.421121597290039,14.073216438293457,9.804902076721191,8.292708396911621,single,,,
SOC,setA,M2,heat_kwh,False,False,42,14,0,11158,2066,8213,ok,17.870137013324772,10.357795715332031,0.9791968464851379,9.445467948913574,12.46003246307373,13.499282836914062,10.658323287963867,8.707237243652344,single,,,
SOC,setA,M2,heat_kwh,False,False,52,14,0,11158,2066,8213,ok,19.64197287414561,11.580445289611816,0.9748669862747192,10.560425758361816,12.923087120056152,14.219672203063965,11.557126998901367,9.4664306640625,single,,,
SOC,setA,M2,heat_kwh,False,False,62,14,0,11158,2066,8213,ok,18.520412421691134,10.746129035949707,0.977655291557312,9.799596786499023,13.965551376342773,14.493133544921875,11.224380493164062,9.316666603088379,single,,,
SOC,setA,M2,heat_kwh,False,False,72,14,0,11158,2066,8213,ok,18.933760169863827,11.077388763427734,0.9766467213630676,10.101677894592285,12.947216987609863,14.136873245239258,10.921239852905273,8.717851638793945,single,,,
SOC,setA,M2,heat_kwh,False,False,82,14,0,11158,2066,8213,ok,18.841105969924428,11.345453262329102,0.9768747091293335,10.346131324768066,12.668830871582031,14.403350830078125,10.3544921875,8.490067481994629,single,,,
U01,setA,M2,heat_kwh,False,False,42,14,0,11158,2066,8213,ok,98.6630649768443,61.17658996582031,-0.34578824043273926,74.28205871582031,66.52474975585938,76.28557586669922,82.97784423828125,86.45476531982422,single,,,
U01,setA,M2,heat_kwh,False,False,52,14,0,11158,2066,8213,ok,95.57332652046543,57.69794464111328,-0.2628183364868164,70.0582046508789,74.56301879882812,89.91730499267578,92.41878509521484,92.17615509033203,single,,,
U01,setA,M2,heat_kwh,False,False,62,14,0,11158,2066,8213,ok,82.31045341988768,49.008583068847656,0.0633496642112732,59.507381439208984,59.90000534057617,76.07005310058594,79.41791534423828,79.3948974609375,single,,,
U01,setA,M2,heat_kwh,False,False,72,14,0,11158,2066,8213,ok,66.01254615601492,41.572044372558594,0.39755070209503174,50.47775650024414,40.72907638549805,46.14927291870117,45.60957336425781,50.1830940246582,single,,,
U01,setA,M2,heat_kwh,False,False,82,14,0,11158,2066,8213,ok,90.65476881761379,54.81739044189453,-0.13618433475494385,66.56056213378906,70.9437255859375,83.7148208618164,86.5809097290039,86.82654571533203,single,,,
U02,setA,M2,heat_kwh,False,False,42,14,0,11158,2066,8206,ok,4.359934343666095,2.183161735534668,0.8903225660324097,25.253498077392578,23.121713638305664,26.44464683532715,23.788000106811523,22.85004997253418,single,,,
