Building,Horizon_h,target_col,Model,Status,n,MAE,RMSE,WAPE_pct,sMAPE_pct,MAPE_g_pct,R2,ResidAC1,ResidStd,MAE_peak,RMSE_peak,n_peak
U01,4,target_point_h4,Static_ES,ok,6174,26.433,37.763,23.464,51.253,381.121,0.7801,0.9438,37.093,30.454,35.255,667
U01,4,target_point_h4,ARX_ES,ok,6174,14.553,20.276,12.918,46.395,94.761,0.9366,0.7485,20.183,15.315,20.468,667
U01,4,target_point_h4,ARMAX_ES,ok,6174,6.841,11.73,6.072,34.012,15.883,0.9788,-0.1291,11.73,8.156,13.577,667
U01U02,4,target_point_h4,Persistence_1h,ok,222,45.465,68.355,11.753,11.869,12.146,0.5294,0.8605,68.348,47.0,71.226,145
U01U02,4,target_point_h4,Persistence_week,ok,222,172.147,191.408,44.5,51.981,43.15,-2.6897,0.9867,144.8,202.09,218.661,145
U01U02,4,target_point_h4,Static_ES,ok,222,76.774,88.621,19.846,20.291,20.068,0.2091,0.9497,88.491,83.582,95.227,145
U01U02,4,target_point_h4,ARX_ES,ok,222,42.853,59.957,11.078,11.31,11.391,0.638,0.83,59.944,44.061,63.37,145
U01U02,4,target_point_h4,ARMAX_ES,ok,222,18.299,30.217,4.73,5.39,5.032,0.908,0.2264,30.046,18.36,26.951,145
U02,4,target_point_h4,Persistence_1h,ok,6165,5.337,10.991,45.011,45.272,89.986,0.3918,0.8209,10.991,18.234,27.089,292
U02,4,target_point_h4,Persistence_week,ok,6165,6.958,11.69,58.687,73.728,114.257,0.312,0.9217,11.684,24.07,28.265,292
U02,4,target_point_h4,Static_ES,ok,6165,9.899,12.925,83.493,98.086,166.32,0.159,0.9376,12.804,33.41,34.827,292
U02,4,target_point_h4,ARX_ES,ok,6165,6.091,9.724,51.373,79.943,104.187,0.5239,0.7675,9.701,20.571,25.716,292
U02,4,target_point_h4,ARMAX_ES,ok,6165,2.143,4.245,18.075,53.387,31.272,0.9093,-0.0338,4.221,5.161,9.214,292
U02B,4,target_point_h4,Persistence_1h,ok,6165,4.193,6.588,31.583,41.023,45.634,0.6174,0.7529,6.588,6.496,8.533,1145
U02B,4,target_point_h4,Persistence_week,ok,6165,5.653,8.079,42.578,68.72,55.82,0.4246,0.9105,8.079,8.239,10.755,1145
U02B,4,target_point_h4,Static_ES,ok,6165,5.841,7.655,43.993,67.673,54.553,0.4835,0.9056,7.538,11.984,13.328,1145
U02B,4,target_point_h4,ARX_ES,ok,6165,4.351,5.911,32.768,59.558,43.507,0.6919,0.7599,5.88,7.969,9.486,1145
U02B,4,target_point_h4,ARMAX_ES,ok,6165,1.902,3.232,14.324,43.534,22.565,0.9079,-0.0108,3.221,2.498,3.94,1145
U03,4,target_point_h4,Persistence_1h,ok,6165,9.891,15.772,14.797,25.785,32.162,0.9122,0.7557,15.772,11.968,17.984,943
U03,4,target_point_h4,Persistence_week,ok,6165,24.037,33.284,35.961,67.33,84.924,0.6088,0.9661,33.281,32.151,41.511,943
U03,4,target_point_h4,Static_ES,ok,6165,22.416,29.454,33.537,62.55,132.694,0.6937,0.9645,29.307,35.366,41.319,943
U03,4,target_point_h4,ARX_ES,ok,6165,11.736,15.395,17.559,52.95,55.873,0.9163,0.7926,15.335,15.842,20.424,943
U03,4,target_point_h4,ARMAX_ES,ok,6165,4.174,7.45,6.244,37.504,12.461,0.9804,-0.0113,7.45,4.734,7.822,943
U03B,4,target_point_h4,Persistence_1h,ok,6165,3.93,7.363,18.527,27.832,26.657,0.8031,0.7212,7.363,10.56,15.606,313
U03B,4,target_point_h4,Persistence_week,ok,6165,9.132,13.41,43.051,67.048,56.745,0.3467,0.9532,13.408,24.682,29.579,313
U03B,4,target_point_h4,Static_ES,ok,6165,8.525,11.138,40.19,65.853,52.914,0.5493,0.9405,10.87,21.952,23.259,313
U03B,4,target_point_h4,ARX_ES,ok,6165,4.513,6.942,21.277,55.41,28.664,0.8249,0.659,6.898,11.138,15.394,313
U03B,4,target_point_h4,ARMAX_ES,ok,6165,1.79,3.67,8.441,42.495,12.534,0.9511,-0.1631,3.662,3.571,6.846,313
U04,4,target_point_h4,Persistence_1h,ok,6165,11.609,20.513,7.619,17.097,15.0,0.9731,0.816,20.505,32.364,41.632,194
U04,4,target_point_h4,Persistence_week,ok,6165,61.281,97.791,40.218,58.539,77.688,0.3897,0.9925,97.662,268.828,289.858,194
U04,4,target_point_h4,Static_ES,ok,6165,86.271,98.932,56.618,61.671,221.56,0.3754,0.9868,68.639,192.207,195.633,194
U04,4,target_point_h4,ARX_ES,ok,6165,17.026,22.379,11.174,34.553,45.137,0.968,0.8073,19.572,34.876,45.661,194
U04,4,target_point_h4,ARMAX_ES,ok,6165,4.567,10.227,2.997,24.228,10.977,0.9933,0.081,10.227,12.847,37.258,194
U04B,4,target_point_h4,Persistence_1h,ok,6165,1.546,3.107,17.071,18.143,26.174,0.8969,0.7499,3.106,1.973,4.14,432
U04B,4,target_point_h4,Persistence_week,ok,6165,5.067,8.111,55.946,63.161,71.326,0.2976,0.9714,8.093,9.842,13.125,432
U04B,4,target_point_h4,Static_ES,ok,6165,8.501,9.931,93.871,121.291,57.467,-0.0532,0.9876,9.907,17.255,17.437,432
U04B,4,target_point_h4,ARX_ES,ok,6165,1.73,2.978,19.104,96.477,26.464,0.9053,0.7538,2.976,2.048,4.117,432
U04B,4,target_point_h4,ARMAX_ES,ok,6165,0.713,1.533,7.877,87.8,12.336,0.9749,0.0294,1.532,0.922,2.312,432
U05,4,target_point_h4,Persistence_1h,ok,6165,20.891,35.721,32.442,42.539,49.642,0.6416,0.8341,35.721,49.84,65.17,989
U05,4,target_point_h4,Persistence_week,ok,6165,31.599,47.289,49.07,74.807,93.111,0.372,0.9532,47.286,60.947,77.611,989
U05,4,target_point_h4,Static_ES,ok,6165,31.185,45.503,48.426,75.257,100.5,0.4185,0.9441,43.214,88.678,96.171,989
U05,4,target_point_h4,ARX_ES,ok,6165,19.278,31.445,29.937,60.137,55.487,0.7223,0.781,31.122,47.972,63.118,989
U05,4,target_point_h4,ARMAX_ES,ok,6165,7.637,14.496,11.86,40.644,18.423,0.941,0.1583,14.496,16.493,25.546,989
U05B,4,target_point_h4,Persistence_1h,ok,6165,1.525,2.734,18.736,26.74,27.344,0.8757,0.7091,2.734,3.086,5.42,531
U05B,4,target_point_h4,Persistence_week,ok,6165,4.293,6.412,52.744,76.452,65.325,0.3162,0.9594,6.411,10.157,12.322,531
U05B,4,target_point_h4,Static_ES,ok,6165,3.34,4.559,41.033,72.599,46.155,0.6544,0.9443,4.488,7.613,9.175,531
U05B,4,target_point_h4,ARX_ES,ok,6165,1.806,2.658,22.192,63.5,27.277,0.8825,0.6925,2.641,3.537,5.556,531
U05B,4,target_point_h4,ARMAX_ES,ok,6165,0.879,1.538,10.804,55.977,16.105,0.9607,-0.2608,1.512,1.492,2.567,531
U06,4,target_point_h4,Persistence_1h,ok,6165,11.482,18.169,14.53,19.516,21.234,0.8893,0.8116,18.165,24.199,34.771,527
U06,4,target_point_h4,Persistence_week,ok,6165,33.263,47.271,42.094,60.511,78.997,0.2507,0.9809,47.244,75.767,87.941,527
U06,4,target_point_h4,Static_ES,ok,6165,20.516,30.101,25.964,40.286,100.346,0.6962,0.9645,29.744,41.866,51.923,527
U06,4,target_point_h4,ARX_ES,ok,6165,12.034,16.875,15.229,32.42,44.799,0.9045,0.7678,16.753,23.614,31.711,527
U06,4,target_point_h4,ARMAX_ES,ok,6165,4.452,7.592,5.634,19.16,10.66,0.9807,0.1595,7.592,7.759,13.547,527
U06A,4,target_point_h4,Persistence_1h,ok,6165,3.816,7.262,31.345,38.641,47.867,0.6817,0.83,7.262,12.715,15.831,317
U06A,4,target_point_h4,Persistence_week,ok,6165,5.329,7.989,43.775,74.304,60.678,0.6148,0.9304,7.988,10.921,13.452,317
U06A,4,target_point_h4,Static_ES,ok,6165,8.756,10.182,71.927,94.381,133.888,0.3743,0.9366,8.605,15.17,15.858,317
U06A,4,target_point_h4,ARX_ES,ok,6165,4.114,6.686,33.797,70.681,53.298,0.7303,0.7972,6.568,11.825,14.728,317
U06A,4,target_point_h4,ARMAX_ES,ok,6165,1.482,2.897,12.172,54.372,19.751,0.9494,0.286,2.895,3.773,5.699,317
GEO,6,target_point_h6,Persistence_1h,ok,6174,5.819,21.715,23.087,51.877,67.097,0.9438,0.8725,21.714,13.57,37.199,1283
GEO,6,target_point_h6,Persistence_week,ok,6174,33.956,126.634,134.721,65.793,237.161,-0.9126,0.9956,126.634,103.651,224.215,1283
GEO,6,target_point_h6,Static_ES,ok,6174,20.805,92.404,82.543,71.564,58.706,-0.0184,0.9964,90.938,88.549,202.591,1283
GEO,6,target_point_h6,ARX_ES,ok,6174,14.519,58.253,57.604,64.189,55.283,0.5953,0.9851,57.378,58.32,127.13,1283
GEO,6,target_point_h6,ARMAX_ES,ok,6174,2.029,8.121,8.049,40.338,19.994,0.9921,0.2247,8.087,5.641,17.169,1283
ICO,6,target_point_h6,Persistence_1h,ok,6174,8.555,12.502,21.61,36.531,32.514,0.8421,0.8776,12.502,11.201,14.822,745
ICO,6,target_point_h6,Persistence_week,ok,6174,12.915,19.882,32.624,41.143,42.06,0.6006,0.978,19.877,30.259,37.352,745
ICO,6,target_point_h6,Static_ES,ok,6174,14.353,16.606,36.255,53.41,67.498,0.7214,0.9592,16.19,24.129,25.924,745
ICO,6,target_point_h6,ARX_ES,ok,6174,8.362,11.328,21.122,41.126,34.592,0.8703,0.8884,11.248,11.313,14.532,745
ICO,6,target_point_h6,ARMAX_ES,ok,6174,2.592,4.425,6.546,27.779,11.657,0.9802,0.2106,4.422,3.185,5.839,745
LIB,6,target_point_h6,Persistence_1h,ok,6174,19.5,29.308,24.846,47.27,58.505,0.7603,0.8643,29.308,36.789,49.123,922
LIB,6,target_point_h6,Persistence_week,ok,6174,33.157,46.95,42.246,64.579,98.988,0.3848,0.9682,46.949,58.948,72.111,922
LIB,6,target_point_h6,Static_ES,ok,6174,25.904,33.089,33.005,59.76,140.327,0.6944,0.9424,32.64,52.203,60.421,922
LIB,6,target_point_h6,ARX_ES,ok,6174,18.254,25.781,23.258,51.458,78.562,0.8145,0.8598,25.73,35.909,46.814,922
LIB,6,target_point_h6,ARMAX_ES,ok,6174,6.152,10.663,7.838,34.436,18.929,0.9683,0.1631,10.651,9.556,16.341,922
SOC,6,target_point_h6,Persistence_1h,ok,6174,58.401,89.725,39.138,49.182,60.489,0.4579,0.9114,89.723,101.836,138.642,991
SOC,6,target_point_h6,Persistence_week,ok,6174,66.836,96.193,44.79,63.76,86.861,0.3769,0.9667,96.158,126.502,157.219,991
SOC,6,target_point_h6,Static_ES,ok,6174,62.576,81.139,41.935,61.814,97.306,0.5567,0.9457,79.555,146.939,158.518,991
SOC,6,target_point_h6,ARX_ES,ok,6174,51.444,71.414,34.475,54.701,70.414,0.6566,0.8338,70.978,106.924,127.598,991
SOC,6,target_point_h6,ARMAX_ES,ok,6174,13.942,25.565,9.343,28.472,16.295,0.956,0.3781,25.565,20.508,37.354,991
STU,6,target_point_h6,Persistence_1h,ok,81,27.066,44.45,26.687,25.469,26.242,0.0816,0.884,43.629,30.581,47.878,43
STU,6,target_point_h6,Persistence_week,ok,81,68.593,82.738,67.632,90.722,60.242,-2.1819,0.9396,46.266,102.477,109.052,43
STU,6,target_point_h6,Static_ES,ok,81,38.187,41.316,37.653,37.653,43.587,0.2065,0.9198,40.669,38.53,43.827,43
STU,6,target_point_h6,ARX_ES,ok,81,31.046,36.845,30.611,30.557,34.133,0.369,0.8848,36.726,31.547,39.689,43
STU,6,target_point_h6,ARMAX_ES,ok,81,6.995,16.66,6.897,8.559,7.446,0.871,0.2214,16.526,7.178,16.93,43
U01,6,target_point_h6,Persistence_1h,ok,6174,17.123,26.218,15.212,25.135,43.161,0.8941,0.784,26.218,18.982,25.909,665
U01,6,target_point_h6,Persistence_week,ok,6174,41.958,57.354,37.275,63.444,227.054,0.4931,0.9698,57.351,71.3,84.497,665
U01,6,target_point_h6,Static_ES,ok,6174,27.528,38.873,24.456,52.335,386.055,0.7672,0.94,38.219,31.424,36.551,665
U01,6,target_point_h6,ARX_ES,ok,6174,17.894,24.341,15.897,49.554,117.01,0.9087,0.8274,24.242,18.931,24.809,665
U01,6,target_point_h6,ARMAX_ES,ok,6174,6.804,11.983,6.045,32.276,14.929,0.9779,-0.0985,11.983,8.209,14.11,665
U01U02,6,target_point_h6,Persistence_1h,ok,220,61.811,87.973,15.931,15.945,16.524,0.2164,0.9114,87.97,65.411,91.276,145
U01U02,6,target_point_h6,Persistence_week,ok,220,173.212,192.204,44.644,52.24,43.351,-2.7406,0.9867,145.301,202.09,218.661,145
U01U02,6,target_point_h6,Static_ES,ok,220,73.104,85.025,18.842,19.197,19.007,0.268,0.9427,84.887,79.602,91.183,145
U01U02,6,target_point_h6,ARX_ES,ok,220,56.786,73.147,14.636,14.84,15.008,0.4582,0.8987,73.123,59.636,77.093,145
U01U02,6,target_point_h6,ARMAX_ES,ok,220,9603.186,10974.639,2475.145,192.213,2562.832,-12194.3249,0.9782,7940.757,9922.151,11061.438,145
U02,6,target_point_h6,Persistence_1h,ok,6163,7.015,13.433,59.198,54.546,115.423,0.0922,0.8874,13.433,25.149,33.313,292
U02,6,target_point_h6,Persistence_week,ok,6163,6.963,11.7,58.757,73.782,113.979,0.3114,0.922,11.693,24.07,28.265,292
U02,6,target_point_h6,Static_ES,ok,6163,9.921,12.902,83.726,98.437,167.284,0.1626,0.9364,12.777,33.298,34.699,292
U02,6,target_point_h6,ARX_ES,ok,6163,7.683,11.239,64.833,88.586,130.865,0.3645,0.8526,11.195,26.706,30.455,292
U02,6,target_point_h6,ARMAX_ES,ok,6163,2.134,4.243,18.009,51.743,31.212,0.9094,-0.0297,4.221,5.186,9.234,292
U02B,6,target_point_h6,Persistence_1h,ok,6163,5.334,8.058,40.274,49.115,57.066,0.4307,0.8382,8.058,8.565,10.793,1145
U02B,6,target_point_h6,Persistence_week,ok,6163,5.636,8.075,42.554,68.111,55.541,0.4283,0.9118,8.075,8.239,10.755,1145
U02B,6,target_point_h6,Static_ES,ok,6163,5.866,7.658,44.292,68.472,54.627,0.4858,0.9064,7.551,11.969,13.296,1145
U02B,6,target_point_h6,ARX_ES,ok,6163,5.237,6.822,39.541,65.245,50.342,0.592,0.8496,6.768,10.198,11.538,1145
U02B,6,target_point_h6,ARMAX_ES,ok,6163,1.864,3.213,14.077,40.713,21.893,0.9095,0.0022,3.203,2.53,3.962,1145
U03,6,target_point_h6,Persistence_1h,ok,6163,12.266,19.187,18.351,30.569,44.046,0.87,0.8358,19.187,15.592,22.751,941
U03,6,target_point_h6,Persistence_week,ok,6163,24.054,33.276,35.988,67.61,82.988,0.6089,0.9661,33.272,32.134,41.516,941
U03,6,target_point_h6,Static_ES,ok,6163,22.58,29.6,33.783,62.64,134.59,0.6905,0.9626,29.441,35.598,41.541,941
U03,6,target_point_h6,ARX_ES,ok,6163,14.532,18.86,21.741,56.244,75.776,0.8744,0.8989,18.774,20.87,26.26,941
U03,6,target_point_h6,ARMAX_ES,ok,6163,4.237,7.563,6.339,34.946,12.369,0.9798,-0.0179,7.544,5.004,8.111,941
U03B,6,target_point_h6,Persistence_1h,ok,6163,4.806,8.541,22.66,33.843,33.621,0.735,0.8087,8.541,13.89,18.499,313
U03B,6,target_point_h6,Persistence_week,ok,6163,9.128,13.41,43.038,67.276,57.308,0.3468,0.9532,13.407,24.682,29.579,313
U03B,6,target_point_h6,Static_ES,ok,6163,8.523,11.129,40.183,65.809,53.572,0.5501,0.9389,10.85,21.77,23.126,313
U03B,6,target_point_h6,ARX_ES,ok,6163,5.524,7.903,26.044,59.004,36.33,0.7731,0.797,7.822,14.485,18.298,313
U03B,6,target_point_h6,ARMAX_ES,ok,6163,1.802,3.693,8.498,40.639,12.639,0.9505,-0.1747,3.686,3.598,6.861,313
U04,6,target_point_h6,Persistence_1h,ok,6163,15.174,25.699,9.955,21.415,18.467,0.9576,0.8777,25.692,42.075,52.545,192
U04,6,target_point_h6,Persistence_week,ok,6163,61.323,97.77,40.231,58.803,77.274,0.3867,0.9926,97.647,270.468,291.142,192
U04,6,target_point_h6,Static_ES,ok,6163,86.442,99.488,56.71,61.353,220.644,0.3649,0.984,69.47,196.873,201.613,192
U04,6,target_point_h6,ARX_ES,ok,6163,21.525,28.309,14.121,36.161,55.99,0.9486,0.8885,24.945,48.521,61.058,192
U04,6,target_point_h6,ARMAX_ES,ok,6163,4.636,10.702,3.042,20.838,8.764,0.9927,0.0283,10.659,14.816,40.932,192
U04B,6,target_point_h6,Persistence_1h,ok,6163,1.977,3.849,21.814,22.804,34.668,0.8418,0.8351,3.849,2.578,5.039,432
U04B,6,target_point_h6,Persistence_week,ok,6163,5.07,8.109,55.943,63.315,71.736,0.2977,0.9717,8.092,9.842,13.125,432
U04B,6,target_point_h6,Static_ES,ok,6163,8.506,9.917,93.861,121.06,58.169,-0.0503,0.9872,9.895,17.267,17.448,432
U04B,6,target_point_h6,ARX_ES,ok,6163,2.211,3.671,24.397,99.367,34.414,0.8561,0.8659,3.668,2.727,5.034,432
U04B,6,target_point_h6,ARMAX_ES,ok,6163,0.72,1.545,7.946,86.982,12.455,0.9745,0.012,1.542,1.002,2.344,432
U05,6,target_point_h6,Persistence_1h,ok,6163,27.928,45.004,43.394,51.931,70.549,0.4314,0.8912,45.004,66.816,81.449,988
U05,6,target_point_h6,Persistence_week,ok,6163,31.649,47.391,49.175,74.574,93.216,0.3695,0.9532,47.387,60.976,77.644,988
U05,6,target_point_h6,Static_ES,ok,6163,31.115,45.346,48.346,75.181,100.079,0.4227,0.9423,43.09,88.311,95.846,988
U05,6,target_point_h6,ARX_ES,ok,6163,24.558,38.092,38.158,67.645,74.57,0.5926,0.8863,37.57,63.967,78.447,988
U05,6,target_point_h6,ARMAX_ES,ok,6163,7.868,14.531,12.225,42.414,19.558,0.9407,0.0427,14.349,16.701,26.467,988
U05B,6,target_point_h6,Persistence_1h,ok,6163,1.933,3.292,23.763,32.595,34.629,0.8198,0.8037,3.292,3.875,6.321,531
U05B,6,target_point_h6,Persistence_week,ok,6163,4.294,6.414,52.778,76.691,65.591,0.3158,0.9598,6.412,10.157,12.322,531
U05B,6,target_point_h6,Static_ES,ok,6163,3.368,4.594,41.404,72.686,46.735,0.649,0.9432,4.521,7.648,9.188,531
U05B,6,target_point_h6,ARX_ES,ok,6163,2.255,3.173,27.722,66.556,33.396,0.8325,0.8189,3.147,4.729,6.686,531
U05B,6,target_point_h6,ARMAX_ES,ok,6163,0.82,1.525,10.084,47.848,15.732,0.9613,-0.232,1.516,1.402,2.515,531
U06,6,target_point_h6,Persistence_1h,ok,6163,14.521,22.635,18.385,24.081,28.055,0.8284,0.871,22.632,31.281,43.224,527
U06,6,target_point_h6,Persistence_week,ok,6163,33.336,47.351,42.207,60.512,78.618,0.249,0.9809,47.326,75.767,87.941,527
U06,6,target_point_h6,Static_ES,ok,6163,20.771,30.453,26.298,40.772,105.208,0.6894,0.9604,30.042,42.201,52.636,527
U06,6,target_point_h6,ARX_ES,ok,6163,14.918,20.753,18.888,36.131,60.804,0.8557,0.8746,20.563,30.759,39.234,527
U06,6,target_point_h6,ARMAX_ES,ok,6163,4.543,7.8,5.752,18.042,9.928,0.9796,0.1671,7.8,7.933,13.715,527
U06A,6,target_point_h6,Persistence_1h,ok,6163,5.099,8.953,41.872,49.246,63.004,0.516,0.8925,8.953,15.951,18.539,317
U06A,6,target_point_h6,Persistence_week,ok,6163,5.343,8.016,43.877,74.537,60.937,0.612,0.9305,8.014,10.921,13.452,317
U06A,6,target_point_h6,Static_ES,ok,6163,8.736,10.142,71.735,94.023,133.267,0.3788,0.9351,8.52,14.978,15.689,317
U06A,6,target_point_h6,ARX_ES,ok,6163,5.422,7.993,44.522,78.26,71.452,0.6142,0.89,7.79,14.298,16.588,317
U06A,6,target_point_h6,ARMAX_ES,ok,6163,1.476,2.894,12.117,52.887,19.692,0.9494,0.2828,2.893,3.782,5.689,317
GEO,8,target_point_h8,Persistence_1h,ok,6174,7.303,25.261,28.976,61.219,83.486,0.9239,0.9067,25.261,17.079,44.591,1282
GEO,8,target_point_h8,Persistence_week,ok,6174,33.973,126.635,134.799,65.546,237.415,-0.9126,0.9956,126.635,103.731,224.302,1282
GEO,8,target_point_h8,Static_ES,ok,6174,20.853,92.388,82.743,71.729,59.167,-0.018,0.9964,90.93,88.588,202.629,1282
GEO,8,target_point_h8,ARX_ES,ok,6174,17.518,73.055,69.511,68.77,59.904,0.3635,0.9926,71.934,71.989,159.999,1282
GEO,8,target_point_h8,ARMAX_ES,ok,6174,2.035,8.111,8.076,40.65,20.293,0.9922,0.2183,8.078,5.62,17.143,1282
ICO,8,target_point_h8,Persistence_1h,ok,6174,10.114,14.274,25.532,41.911,37.753,0.7932,0.9082,14.273,13.435,17.448,743
ICO,8,target_point_h8,Persistence_week,ok,6174,12.97,19.913,32.74,42.069,43.333,0.5975,0.9783,19.908,30.285,37.387,743
ICO,8,target_point_h8,Static_ES,ok,6174,14.281,16.557,36.049,52.327,71.863,0.7217,0.9592,16.133,24.312,26.087,743
ICO,8,target_point_h8,ARX_ES,ok,6174,9.732,12.749,24.566,42.563,40.976,0.835,0.9229,12.652,13.564,17.108,743
ICO,8,target_point_h8,ARMAX_ES,ok,6174,2.594,4.45,6.548,25.564,11.81,0.9799,0.2026,4.448,3.19,6.12,743
LIB,8,target_point_h8,Persistence_1h,ok,6174,22.679,33.155,28.921,52.443,65.621,0.6937,0.8893,33.155,44.207,56.088,919
LIB,8,target_point_h8,Persistence_week,ok,6174,33.066,46.956,42.166,64.286,94.689,0.3857,0.9681,46.955,59.026,72.199,919
LIB,8,target_point_h8,Static_ES,ok,6174,26.352,33.66,33.606,60.51,136.684,0.6843,0.9446,33.214,52.615,60.659,919
LIB,8,target_point_h8,ARX_ES,ok,6174,20.773,28.665,26.491,55.166,88.476,0.7711,0.903,28.591,42.442,52.713,919
LIB,8,target_point_h8,ARMAX_ES,ok,6174,6.072,10.669,7.743,35.119,18.325,0.9683,0.1667,10.669,9.412,16.27,919
SOC,8,target_point_h8,Persistence_1h,ok,6174,70.81,103.593,47.482,56.44,72.955,0.2782,0.9298,103.592,126.314,161.124,990
SOC,8,target_point_h8,Persistence_week,ok,6174,66.933,96.451,44.882,63.758,87.062,0.3743,0.9667,96.422,126.547,157.277,990
SOC,8,target_point_h8,Static_ES,ok,6174,62.442,81.13,41.871,61.876,100.252,0.5573,0.9467,79.592,146.809,158.778,990
SOC,8,target_point_h8,ARX_ES,ok,6174,58.596,78.413,39.292,59.287,83.997,0.5864,0.9018,77.773,127.305,144.954,990
SOC,8,target_point_h8,ARMAX_ES,ok,6174,13.951,25.501,9.355,28.648,16.741,0.9563,0.3746,25.5,20.528,37.333,990
STU,8,target_point_h8,Persistence_1h,ok,79,33.521,51.418,32.589,31.264,31.719,-0.2461,0.9059,50.401,38.5,56.745,43
STU,8,target_point_h8,Persistence_week,ok,79,70.068,83.762,68.119,92.353,61.179,-2.3068,0.9371,45.898,102.477,109.052,43
STU,8,target_point_h8,Static_ES,ok,79,37.033,40.09,36.003,36.034,40.81,0.2425,0.92,39.688,38.568,43.513,43
STU,8,target_point_h8,ARX_ES,ok,79,34.095,38.859,33.147,32.916,36.337,0.2883,0.9123,38.761,35.961,42.822,43
STU,8,target_point_h8,ARMAX_ES,ok,79,7.032,16.896,6.836,8.64,7.452,0.8655,0.2187,16.754,7.012,16.845,43
U01,8,target_point_h8,Persistence_1h,ok,6174,19.035,28.802,16.928,27.809,53.047,0.8723,0.8292,28.801,21.493,29.083,663
U01,8,target_point_h8,Persistence_week,ok,6174,41.927,57.37,37.287,63.696,228.349,0.4935,0.9697,57.368,71.333,84.559,663
U01,8,target_point_h8,Static_ES,ok,6174,28.635,40.047,25.466,53.42,390.756,0.7532,0.9432,39.43,32.581,37.79,663
U01,8,target_point_h8,ARX_ES,ok,6174,19.692,26.873,17.513,51.377,126.99,0.8889,0.8695,26.786,21.311,28.045,663
U01,8,target_point_h8,ARMAX_ES,ok,6174,6.761,12.023,6.013,30.719,14.477,0.9778,-0.0877,12.023,8.225,14.353,663
U01U02,8,target_point_h8,Persistence_1h,ok,218,77.407,103.766,19.895,19.741,20.583,-0.095,0.9348,103.766,82.492,108.958,149
U01U02,8,target_point_h8,Persistence_week,ok,218,174.281,193.007,44.793,52.502,43.556,-2.7882,0.9867,145.813,199.763,216.602,149
U01U02,8,target_point_h8,Static_ES,ok,218,69.655,80.837,17.902,18.229,18.075,0.3355,0.9391,80.672,75.696,85.984,149
U01U02,8,target_point_h8,ARX_ES,ok,218,66.55,81.772,17.104,17.226,17.409,0.32,0.9277,81.736,71.004,87.432,149
U01U02,8,target_point_h8,ARMAX_ES,ok,218,18.8,32.821,4.832,5.521,5.124,0.8905,0.2707,32.799,18.149,27.494,149
U02,8,target_point_h8,Persistence_1h,ok,6161,8.61,15.417,72.752,63.526,137.251,-0.1952,0.9176,15.417,31.912,38.38,292
U02,8,target_point_h8,Persistence_week,ok,6161,6.959,11.701,58.803,74.183,114.886,0.3115,0.9219,11.695,24.07,28.265,292
U02,8,target_point_h8,Static_ES,ok,6161,9.908,12.86,83.718,98.387,167.162,0.1684,0.9369,12.73,33.14,34.515,292
U02,8,target_point_h8,ARX_ES,ok,6161,8.7,12.029,73.51,93.686,147.931,0.2724,0.8844,11.958,30.142,32.821,292
U02,8,target_point_h8,ARMAX_ES,ok,6161,2.138,4.243,18.063,53.586,31.158,0.9095,-0.0191,4.22,5.181,9.247,292
U02B,8,target_point_h8,Persistence_1h,ok,6161,6.32,9.24,47.798,55.483,67.532,0.254,0.8744,9.239,10.489,12.633,1143
U02B,8,target_point_h8,Persistence_week,ok,6161,5.625,8.085,42.544,67.448,55.537,0.4288,0.914,8.085,8.239,10.759,1143
U02B,8,target_point_h8,Static_ES,ok,6161,5.882,7.659,44.485,69.015,54.468,0.4874,0.9086,7.558,11.974,13.273,1143
U02B,8,target_point_h8,ARX_ES,ok,6161,5.712,7.367,43.199,68.389,53.731,0.5257,0.8848,7.287,11.383,12.681,1143
U02B,8,target_point_h8,ARMAX_ES,ok,6161,1.83,3.181,13.841,41.826,21.341,0.9116,0.015,3.169,2.528,3.96,1143
U03,8,target_point_h8,Persistence_1h,ok,6161,14.02,21.413,20.985,34.784,51.705,0.8382,0.8719,21.413,18.332,26.029,938
U03,8,target_point_h8,Persistence_week,ok,6161,24.019,33.229,35.952,67.55,81.964,0.6103,0.9662,33.225,32.092,41.52,938
U03,8,target_point_h8,Static_ES,ok,6161,22.902,29.972,34.28,63.167,135.2,0.6829,0.9628,29.815,35.845,41.836,938
U03,8,target_point_h8,ARX_ES,ok,6161,15.978,20.681,23.915,58.197,83.188,0.849,0.9197,20.594,22.987,28.972,938
U03,8,target_point_h8,ARMAX_ES,ok,6161,4.23,7.608,6.332,32.843,12.304,0.9796,0.0021,7.584,5.223,9.242,938
U03B,8,target_point_h8,Persistence_1h,ok,6161,5.422,9.291,25.579,36.766,37.71,0.687,0.8415,9.291,15.776,19.996,313
U03B,8,target_point_h8,Persistence_week,ok,6161,9.119,13.404,43.022,66.806,57.491,0.3485,0.9533,13.401,24.682,29.579,313
U03B,8,target_point_h8,Static_ES,ok,6161,8.577,11.2,40.466,66.437,53.713,0.5451,0.9387,10.916,21.824,23.217,313
U03B,8,target_point_h8,ARX_ES,ok,6161,6.148,8.425,29.004,61.398,40.665,0.7426,0.8812,8.317,16.475,19.605,313
U03B,8,target_point_h8,ARMAX_ES,ok,6161,1.799,3.69,8.487,40.564,12.364,0.9506,-0.1639,3.682,3.629,6.884,313
