building,mode,seed,target_name,target_family,horizon_hours,n_dynamic_features,n_train_seq,n_fit_val_seq,n_test_seq,status,rmse,mae,r2,wape_pct,mape_pct,baseline_wape_pct,baseline_mape_pct,delta_wape_vs_baseline,delta_mape_vs_baseline,epochs_ran,datetime_test_start,datetime_test_end
U05,M3,52,target_point_h1,point,1,15,15364,1536,8206,ok,12.11234149652,6.568106174468994,0.9572988748550415,13.967371940612793,11380109.0,11.661151716361198,4352722.979432749,2.306220224251595,7027386.020567251,35,2024-01-02 02:00:00,2024-12-30 18:00:00
U05,M3,62,target_point_h1,point,1,15,15364,1536,8206,ok,11.882612177798649,6.552545070648193,0.9589033126831055,13.934280395507812,12904325.0,11.661151716361198,4352722.979432749,2.2731286791466143,8551602.020567251,35,2024-01-02 02:00:00,2024-12-30 18:00:00
U05,M0,42,target_point_h4,point,4,8,15364,1536,8203,ok,19.00006424742427,10.533172607421875,0.8948187232017517,22.422338485717773,13369864.0,32.54612406366109,6809521.409526641,-10.123785577943316,6560342.590473359,35,2024-01-02 02:00:00,2024-12-30 15:00:00
U05,M0,52,target_point_h4,point,4,8,15364,1536,8203,ok,18.96868001557312,10.535284996032715,0.8951659202575684,22.426836013793945,13244984.0,32.54612406366109,6809521.409526641,-10.119288049867144,6435462.590473359,35,2024-01-02 02:00:00,2024-12-30 15:00:00
U05,M0,62,target_point_h4,point,4,8,15364,1536,8203,ok,19.810590682103047,11.158707618713379,0.8856533765792847,23.753936767578125,17618796.0,32.54612406366109,6809521.409526641,-8.792187296082965,10809274.59047336,35,2024-01-02 02:00:00,2024-12-30 15:00:00
U05,M1,42,target_point_h4,point,4,9,15364,1536,8203,ok,18.34523142043023,10.283440589904785,0.9019438624382019,21.890722274780273,11895839.0,32.54612406366109,6809521.409526641,-10.655401788880816,5086317.590473359,35,2024-01-02 02:00:00,2024-12-30 15:00:00
U05,M1,52,target_point_h4,point,4,9,15364,1536,8203,ok,18.84584633473025,10.372565269470215,0.8965192437171936,22.080448150634766,10966427.0,32.54612406366109,6809521.409526641,-10.465675913026324,4156905.5904733595,35,2024-01-02 02:00:00,2024-12-30 15:00:00
U05,M1,62,target_point_h4,point,4,9,15364,1536,8203,ok,19.72748064076203,10.959155082702637,0.8866108059883118,23.32914161682129,14380334.0,32.54612406366109,6809521.409526641,-9.2169824468398,7570812.590473359,35,2024-01-02 02:00:00,2024-12-30 15:00:00
U05,M2,42,target_point_h4,point,4,14,15364,1536,8203,ok,20.92873825534969,10.977655410766602,0.8723812699317932,23.3685245513916,11567279.0,32.54612406366109,6809521.409526641,-9.177599512269488,4757757.590473359,35,2024-01-02 02:00:00,2024-12-30 15:00:00
U05,M2,52,target_point_h4,point,4,14,15364,1536,8203,ok,18.557968459919717,10.263473510742188,0.8996564745903015,21.84821891784668,9670524.0,32.54612406366109,6809521.409526641,-10.69790514581441,2861002.5904733595,35,2024-01-02 02:00:00,2024-12-30 15:00:00
